model,resnet50

platform,pocket
inference_time,2.453144,2.822270,2.947490,2.960355,2.779548
cputime.total,709646223,622601095,705464084,705210417,703797901
cputime.user,709646223,622601095,705464084,705210417,703797901
cputime.sys,0,0,0,0,0
memory.max_usage,26533888,28143616,26910720,27119616,27385856
memory.memsw.max_usage,26533888,28143616,26910720,27119616,27385856
memory.stat.pgfault,9339,9339,9372,9207,9372
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

platform,pocket-static
inference_time,3.210853,2.926130,3.504815,3.134251,2.961620
cputime.total,712999807,619289259,716199890,807479868,705999013
cputime.user,712999807,619289259,716199890,807479868,705999013
cputime.sys,0,0,0,0,0
memory.max_usage,28110848,27992064,28831744,27623424,27955200
memory.memsw.max_usage,28110848,27992064,28831744,27623424,27955200
memory.stat.pgfault,9372,9273,9240,9372,9438
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

platform,pocket-static-none
inference_time,17.497713,18.701244,16.493210,17.683675,16.987760
cputime.total,699378639,689301366,713896900,752051479,686751181
cputime.user,699378639,689301366,713896900,752051479,686751181
cputime.sys,0,0,0,0,0
memory.max_usage,27987968,27291648,28741632,27373568,26898432
memory.memsw.max_usage,27987968,27291648,28741632,27373568,26898432
memory.stat.pgfault,9174,9306,9372,9273,9405
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

platform,monolithic
inference_time,4.053972482681274,4.0803680419921875,4.2937376499176025,4.025485277175903,4.2561726570129395
cputime.total,12456228812,12126440289,12445280419,12283676223,12443286198
cputime.user,12456228812,12126440289,12445280419,12283676223,12443286198
cputime.sys,0,0,0,0,0
memory.max_usage,553340928,552079360,555032576,554504192,554553344
memory.memsw.max_usage,553340928,552079360,555032576,554504192,554553344
memory.stat.pgfault,169191,170181,172326,172095,172590
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

